subject,body,url,label
"Urgent: Your account will be closed","We detected suspicious activity in your account. To avoid closure, please verify your account immediately.","http://secure-verify-account.com/login",1
"Password Reset Required","Your password has expired. Please reset immediately using the link below.","http://reset-password-now.com/security",1
"Unusual Login Attempt","We noticed an unusual login attempt from a new device. Confirm it was you by signing in through the link below.","http://verify-login-alert.com",1
"Payment Failed","Your recent payment could not be processed. Update billing information to avoid service interruption.","http://billing-update-center.com",1
"Confirm Your Identity","Your identity must be verified to continue using our services. Click the link below to confirm.","http://id-confirm-portal.net/verify",1
"Delivery Issue: Action Needed","We could not deliver your package. Please provide the correct address and pay the reshipping fee.","http://fedex-delivery-fix.com/update",1
"PayPal Alert: Account Limited","Your PayPal account has been limited due to suspicious activity. Verify your details to restore access.","http://paypal-security-check.info",1
"Amazon Order Suspended","Your Amazon order has been put on hold. Please verify payment details to complete your purchase.","http://amazon-order-verify.co",1
"Final Warning: Email Deactivation","Your email account will be permanently removed unless you verify your login today.","http://email-support-verify.org",1
"Your Tax Refund is Ready","Claim your tax refund immediately by confirming your personal information at the link below.","http://irs-refund-claim.net",1
"Action Required: Bank Account Verification","Your bank has noticed irregular activity. Verify your account to avoid temporary hold.","http://secure-bank-check.com",1
"Security Alert: Multiple Failed Logins","We registered multiple failed login attempts. Use the secure link to reset your password.","http://password-reset-center.net",1
"Verify Your Student Loan Details","Your student loan information is incomplete. Update details to avoid increased interest.","http://student-loan-verify.com",1
"Office 365 Mailbox Exceeded Limit","Your mailbox storage limit has been exceeded. Log in to increase your storage quota.","http://office365-mailupgrades.com",1
"Unauthorized Access to Your Cloud Drive","Someone tried accessing your cloud drive from an unknown device. Review activity below.","http://cloud-drive-security-check.com",1
"University Portal Suspended","Your university portal access will be suspended if you do not revalidate your credentials.","http://university-portal-verify.edu-login.net",1
"Scholarship Application Incomplete","Your scholarship application is missing required documents. Upload them using the link.","http://scholarship-verify-form.com",1
"Fake Internship Offer","You have been selected for a paid internship. Provide bank details to receive your first stipend.","http://exclusive-internship-offer.net",1
"Corporate VPN Password Expiring","Your VPN password will expire today. Reset immediately to maintain remote access.","http://corp-vpn-reset.com",1
"Payroll Information Update Required","Your payroll details need verification to process this month's salary.","http://hr-payroll-update.net",1
"Apple ID Locked","Your Apple ID has been locked for security reasons. Restore access by confirming your account.","http://appleid-restore-access.net",1
"Microsoft Account Closure Notice","Your Microsoft account is scheduled for closure. Cancel this request within 24 hours.","http://microsoft-cancel-closure.com",1
"Crypto Wallet Withdrawal Alert","A withdrawal request was initiated from your wallet. Cancel it if this was not you.","http://crypto-security-cancel.com",1
"Social Media Copyright Violation","Your account has been reported for copyright violations. Appeal the decision at the link.","http://copyright-appeal-center.net",1
"Fake KU IT Support Message","KU IT has detected suspicious activity on your account. Log in to verify your identity.","http://ku-it-support-verify.net",1
"Document Shared: Please Sign","A confidential document has been shared for your signature. Log in with your email to view it.","http://secure-docsign-now.com",1
"Suspicious Activity on Your Email","We have blocked new sign-in attempts. Review recent activity and confirm that it was you.","http://email-activity-review.com",1
"Upgrade to Premium Storage","Your free plan is expiring. Upgrade now by entering your card information.","http://storage-upgrade-offer.net",1
"Lottery Winning Notification","Congratulations, you have won a prize. Enter your details to claim your reward.","http://claim-lottery-prize-today.com",1
"Fake Bank Transfer Notice","You have received a large bank transfer. Confirm your account details to receive the funds.","http://secure-transfer-confirmation.net",1

"Meeting Reminder","Just a reminder that our weekly team meeting is tomorrow at 10 AM in Conference Room B.","",0
